,title,posted on,close date,description
0, Walk in for Customer Support Executive - Non voice (Night shift),17/01/2023,20/01/2023,Time: 
0,Adwords Specialist,17/01/2023,31/01/2023, 
0,Assistant Librarian (AL/012023/889),17/01/2023,31/01/2023,
0,Social Media Executive/Analyst (SME/012023/26),17/01/2023,30/01/2023,"Kerala University of Digital Sciences, Innovation and Technology invites applications from qualified Indian citizens for the following position on a contract basis for a period of one year under the Kerala Block Chain Academy. Qualified candidates are requested to apply for the position online through its Recruitment Portal. The guidelines for submission of applications are available in the portal."
0,Graphic Designer,17/01/2023,17/02/2023,Preferred skills
0,Client Relationship Executive,17/01/2023,15/02/2023,Kogland Commerce Pvt Ltd:
0,Odoo Functional consultant,17/01/2023,23/02/2023, Roles and Responsibilities
0,Infrastructure Engineer Trainee / Network Engineer Trainee,17/01/2023,22/01/2023,"Kvaliteta System and Solutions is an Information Technology solutions and Services company with head-office in Technopark, Thiruvananthapuram and with offices in UAE, Singapore, Kenya, Ethiopia, Rwanda. We offer comprehensive Digital Transformation Solutions, Private Cloud, Infrastructure, Security, Software Development as a Services for domestic and international clients."
0,TL PHP Laravel,17/01/2023,17/02/2023,PHP Laravel Lead
0,Senior Technical Lead,17/01/2023,23/01/2023,Preferred skills
0,Digital Marketing Executive,17/01/2023,27/01/2023,Preferred skills
0,Project Coordinator,17/01/2023,23/01/2023,"Work Location - Revyrie Global, Tejaswini, Technopark, Trivandrum"
0,Team Lead/Senior NodeJS,17/01/2023,17/02/2023,Brief description :
0,Senior iOS Developer,17/01/2023,31/01/2023,Preferred skills
0,Digital Marketing,17/01/2023,22/01/2023,"Kvaliteta System and Solutions is an ITES company with headquarters in Trivandrum, India. We focused on building digital software solutions and products for large Enterprises. Our services include Enterprise Software Development, Public/Private Cloud and Network Security.

We are looking for a digital marketer to develop, implement, track, and optimise our digital marketing campaigns across all digital platforms as part of our ambitious growth plan.

Job Title – Digital Marketing

Job Location – Technopark, Thiruvananthapuram"
0,IT Recruiter,17/01/2023,22/01/2023,"Kvaliteta System and Solutions is an ITES company with headquarters in Trivandrum, India. We focused on building digital software solutions and products for large Enterprises. Our services include Enterprise Software Development, Public/Private Cloud and Network Security.

We are looking for a talented IT recruiter to join our team and manage the hiring process end to end. You will be responsible for attracting candidates, evaluating resumes, scheduling and conducting interviews, and managing the hiring process.

Job Title – IT Recruiter

Job Location – Technopark, Thiruvananthapuram"
0,Business Analyst,17/01/2023,23/01/2023,"Work Location - Revyrie Global, Tejaswini, Technopark, Trivandrum"
0,Business Analyst Fresher,17/01/2023,22/01/2023,"Kvaliteta System and Solutions is an Information Technology solutions and Services company with head-office in Technopark, Thiruvananthapuram and with offices in UAE, Singapore, Kenya, Ethiopia, Rwanda and Kenya. We offers comprehensive Digital Transformation Solutions, Private Cloud, Infrastructure, Security, Software Development as a Services and many more solutions built on a solid foundation on technology and software development.  

As part of our ambitious growth plan, we invites applications for a Business Analyst who is highly motivated individual should have excellent interpersonal skills, have strong written and verbal communication skills.  Be able to work well in a team and be individually independent.  The person should have effective time management skills and analytical and problem-solving skills.

Job Title – Business Analyst  

Work Location – Technopark, Thiruvananthapuram"
0,Senior Business Analyst,17/01/2023,22/01/2023,"Kvaliteta System and Solutions is an Information Technology solutions and Services company with head-office in Technopark, Thiruvananthapuram and with offices in UAE, Singapore, Kenya, Ethiopia, Rwanda and Kenya. We offer comprehensive Digital Transformation Solutions, Private Cloud, Infrastructure, Security, Software Development as a Services and many more solutions built on a solid foundation on technology and software development. We actively engaged in outsource opportunities from Leading MNC companies in Singapore & Africa.  

As part of our ambitious growth plan, we invite applications for a Business Analyst who is responsible for developing new business strategies and models, communicating to management how these strategies and models will enhance business efficiency, and creating monthly reports on the performance of the business.

Opportunity for IT Experienced Professionals to join a Leading IT Company @Africa"
0,Trained Java Developer - Fresher,17/01/2023,22/01/2023,"Kvaliteta System and Solutions is an Information Technology solutions and Services company with head-office in Technopark, Thiruvananthapuram and with offices in UAE, Singapore, Kenya, Ethiopia, Rwanda and Kenya. We offers comprehensive Digital Transformation Solutions, Private Cloud, Infrastructure, Security, Software Development as a Services and many more solutions built on a solid foundation on technology and software development.  

We are looking for enthusiastic and motivated “Fresher - Software Developers” to be part of team and should be very clear with the programming fundamentals from the academics and be able to write logic in any programming language (Java)

Job Title – Software Developer  

Work Location – Technopark, Thiruvananthapuram"
0,IT Sales Manager,17/01/2023,22/01/2023,"Kvaliteta System and Solutions is an Information Technology solutions and Services company with head-office in Technopark, Thiruvananthapuram and with offices in UAE, Singapore, Kenya, Ethiopia, Rwanda and Kenya. We offers comprehensive Digital Transformation Solutions, Private Cloud, Infrastructure, Security, Software Development as a Services and many more solutions built on a solid foundation on technology and software development. We actively engaged in outsource opportunities from Leading MNC companies in Singapore & Africa."
0,PHP Developer,16/01/2023,31/01/2023,job description
0,React Js Developer,16/01/2023,31/01/2023,Responsibilities
0,Office Administrator,16/01/2023,31/01/2023,"Responsibilities-
 "
0,Software Engineer - Database Technologies,16/01/2023,20/01/2023,Software Engineer - Database Technologies
0,Office Assistant Cum Driver,16/01/2023,23/01/2023,Preferred skills
0,Junior Network Engineer,16/01/2023,15/02/2023,"We are looking for Junior Security Engineer for E-Team Informatica India Pvt. Ltd Technopark Trivandrum . Requirements 2-3 Years of working experience.  Hands on experience with Cisco Security Solutions Implementation Support and FortiGate firewall . Good knowledge and Hands on experience on Security Solutions (IPS, NGFW)"
0,Senior .NET Developer,16/01/2023,20/01/2023,We are looking for 10+ years of experienced .NET Developer.
0,Marketing Manager,16/01/2023,17/02/2023,Preferred skills
0,Business Analyst - Lead,16/01/2023,15/02/2023,Responsibilities :
0,Business Development Executive,16/01/2023,25/01/2023,Preferred skills
0,Senior PHP Developer,16/01/2023,31/01/2023,Preferred skills
0,Junior PHP Developer,16/01/2023,16/02/2023,     HTML/ CSS/ JS / jQuery / Bootstrap (Should have proficiency).
0,Senior PHP Developer,16/01/2023,16/02/2023,Preferred skills
0,FullStack Architect,16/01/2023,16/02/2023,Responsibilities
0,React JS Developer,16/01/2023,16/02/2023,Preferred skills
0,ROR Developer,16/01/2023,15/02/2023,ROR developer
0,Senior Business Analyst,16/01/2023,02/02/2023,Preferred skills
0,Node JS Developer,16/01/2023,25/01/2023,Responsibilities:
0,Business Analyst - Lead,16/01/2023,23/01/2023,Preferred skills
0,Project Manager,16/01/2023,31/01/2023,"For more details, kindly click the link below:
https://alokin.in/careers/project-manager/"
0,Creative executive - Motion Graphics designer,16/01/2023,24/02/2023,Roles and Responsibilities 
0,Sr. Java Developer,16/01/2023,23/02/2023,Minimum 4+Yrs Exp in Java.
0,Software Engineer :PHP,16/01/2023,22/02/2023,"At Fingent, we believe that what we build touches lives around us. We use technology to create a better and smarter environment. We nurture thought leaders and encourage them to be the seeds of change through smart software development and consulting services. Our commitment to quality and integrity helps us to use technology and create a better and smarter future."
0,Team Lead :PHP,16/01/2023,22/02/2023,"At Fingent, we believe that business software should be beautiful, usable and compelling. We are helping to bring a new level of quality to people who have not had access to well-designed software at work before.
We are looking for a PHP Team Lead  who can be an integral part of a multicultural team, developing a top-notch enterprise app while working from our Kochi (Kerala, India) development Centre. This is an opportunity to work as a part of a very talented international team, with opportunities to learn, grow and enhance your skill set."
0,React Native,16/01/2023,31/01/2023,"We are looking for an excellent JavaScript Developer who is highly proficient with React Native. The core focus of the selected candidate would be on developing highly-responsive user interface components, implementing and executing those following well-known React JS workflows such as Flux or Redux. You should ensure that these components and the overall application are robust and easy to maintain. The successful candidate will work based on the latest technologies. Those with a great attitude and desire to succeed are welcome to apply for this position."
0,React JS,16/01/2023,31/01/2023,"We are looking for an excellent JavaScript Developer who is highly proficient with React JS. The core focus of the selected candidate would be on developing highly-responsive user interface components, implementing and executing those following well-known React JS workflows such as Flux or Redux. You should ensure that these components and the overall application are robust and easy to maintain. The successful candidate will work based on the latest technologies. Those with a great attitude and desire to succeed are welcome to apply for this position."
0,Toon Boom Harmony Animators,16/01/2023,24/02/2023,Lumicel Animation Studios is hiring talented and experienced 2D Toon Boom Harmony Animators (Multiple Positions) for animating onging international television series.
0,HR Recruiter,16/01/2023,31/01/2023,Preferred skills
0,Sr Data Engineer,16/01/2023,23/01/2023,Years of Experience: 5+ Years
0,Service Desk Administrator - IT Services,15/01/2023,31/01/2023,The service desk admin is responsible for overseeing the day-to-day activities of IT service-desk operations to ensure users and business teams receive the support they require.
0,iOS DEVELOPER,14/01/2023,28/01/2023,"We are looking for an iOS developer responsible for developing and maintaining applications aimed at a range of iOS devices including mobile phones and tablet computers. Your primary focus will be the development of iOS applications and their integration with back-end services. You will work alongside other engineers and developers on different layers of the infrastructure. Therefore, a commitment to collaborative problem-solving, sophisticated design and the creation of quality products is essential."
0,PHP LARAVEL DEVELOPER,14/01/2023,28/01/2023,We are looking for candidates with 1-3 years experience as Laravel developer (Immediate Joining).
0,Technical Lead/Scrum Lead,14/01/2023,20/02/2023,
0,DevOps & Cloud Monitoring,14/01/2023,22/02/2023,
0,UI/UX Developer,,14/01/2023,Contact email:
0,Senior Software Engineer Java,14/01/2023,22/02/2023,4+years of experince in Java Spring boot etc.
0,Software Engineer-Java,14/01/2023,22/02/2023,"Must-have: Spring Boot, Spring cloud concepts, Swagger (for document auto generation), Open API specifications,"
0,Software Engineer-React.js,14/01/2023,20/02/2023,Minimum 1-4 years of experience in front end and minumum 1 year React.js
0,Senior Software Engineer-React.js (Front End),14/01/2023,20/02/2023,Minimum 4 years of experience in front end and minumum 1 year React.js
0,Software Engineer/Senior Software Engineer - Flutter,14/01/2023,20/01/2023,What’s important to us:
0,PHP/Python Developer,14/01/2023,20/01/2023,What’s important to us:
0,Team Lead - Python,14/01/2023,20/01/2023,About Techversant
0,Software Engineer/ Senior Software Engineer - Python,14/01/2023,20/01/2023,About Techversant 
0,Software Engineer/Senior Software Engineer - GoLang,14/01/2023,20/01/2023,About Techversant 
0,SE/SSE/Team Lead-Coldfusion,14/01/2023,20/01/2023,About Techversant 
0,Customer Service Representative,14/01/2023,13/02/2023, 
0,Team Lead-React,13/01/2023,21/01/2023,About Techversant 
0,Software Engineer/ Senior Software Engineer - React Js,13/01/2023,21/01/2023,About Techversant 
0,Team Lead - Node,13/01/2023,21/01/2023,About Techversant 
0,Software Engineer/ Senior Software Engineer - Node,13/01/2023,21/01/2023,About Techversant 
0,Software Engineer/Senior Software Engineer - Java,13/01/2023,21/01/2023,"About Techversant,"
0,Digital Marketing Executive,13/01/2023,20/01/2023,Job Description
0,Solution Architect,13/01/2023,20/01/2023,About Techversant 
0,Data Engineer,13/01/2023,20/01/2023,"About Techversant Infotech,"
0,Team Lead-Golang,13/01/2023,20/01/2023,"About Techversant Infotech ""We are a global software solutions firm providing the full life cycle of capabilities from strategy through development, testing, maintenance and outsourcing. Techversant, offers expertize and consultation in multiple technology domains like - ColdFusion, Python, Ruby on Rails, Javascript, Node.JS, Moodle, Odoo, Blockchain, Artificial intelligence and PHP.   "
0,Associate Software Engineer-Freshers,13/01/2023,20/01/2023,About Techversant Infotech
0,Software Engineer/Senior Software Engineer - .Net,13/01/2023,20/01/2023,About Techversant
0,Senior Software Engineer/Software Engineer-Angular,13/01/2023,20/01/2023,About Techversant 
0,Software Engineer/ Senior Software Engineer - Odoo,13/01/2023,20/01/2023,About Techversant Infotech
0,Team Lead .Net,13/01/2023,20/01/2023,About Techversant Infotech
0,Team Lead  - Java,13/01/2023,20/01/2023,"About Techversant Infotech,"
0,AI/ML Architect,13/01/2023,20/01/2023,"About Techversant Infotech,"
0,HR Manager,13/01/2023,23/01/2023,"We are looking for an experienced HR professional with at least four years of experience managing end-to-end HR operations. This role's objective is to enhance the organization's human resources by developing, implementing, and overseeing human resource policies, programmes, and procedures."
0,AI/ML Engineer,13/01/2023,20/01/2023,"About Techversant Infotech,"
0,Senior Data Science Engineer,13/01/2023,20/01/2023,"About Techversant Infotech,"
0,Associate - Business Development,13/01/2023,21/01/2023,About Techversant 
0," Walk in for Virtual Recruitment drive | .NET , Java",13/01/2023,16/01/2023,Time: 
0,Team Lead- React JS,13/01/2023,31/01/2023,"At Fingent, we believe that business software should be beautiful, usable and compelling. We are helping to bring a new level of quality to people who have not had access to well-designed software at work before.
We are looking for React JS Developers who can be an integral part of a multicultural team, developing a top-notch enterprise app while working from our Kochi (Kerala, India) development centre. This is an opportunity to work as a part of a very talented international team, with opportunities to learn, grow and enhance your skill set.

Skill Sets :

Project working experience with ReactJS technology
Strong proficiency in Javascript, Typescript, new ES6 features
Thorough understanding of React.js and its core principles
Good knowledge of Restful API
Experiences with modern front-end build pipeline tools
Ability to understand business requirements and translate them into technical requirements
Proficiency in version control systems and good development practices
Excellent communication skills, both written and verbal
Experience with a testing framework (Jest/Enzyme) will be an added advantage

Roles & Responsibilities :

Responsible for developing new user-facing features using ReactJS
Responsible to build a reusable component
Responsible to translate design and wireframes into high-quality code
Responsible for git process and review the code before the merge
Responsible for OWASP security implementation
Responsible for the Deployment process
Responsible for the managing project team
Responsible for front end related architecture

More Information
Experience: 5 - 8 years"
0,Team Lead- Angular,13/01/2023,31/01/2023,"At Fingent, we believe that business software should be beautiful, usable and compelling. We are helping to bring a new level of quality to people who have not had access to well-designed software at work before.
We are looking for Angular Developers who can be an integral part of a multicultural team, developing a top-notch enterprise app while working from our Kochi (Kerala, India) development centre. This is an opportunity to work as a part of a very talented international team, with opportunities to learn, grow and enhance your skill set.

Skill Sets :
 "
0,Java Developer,15/01/2023,30/01/2023,We are looking for a Java Server Developer with prior experience in the development of cloud-based web and mobile applications. You will primarily be responsible for the development of high-performance multi-tiered and clustered web applications for our digital health SaaS platform.
0,Senior Software Engineer - Java Development,13/01/2023,19/01/2023,"This position is for a Full Stack Developer responsible for developing Java based backend and React based frontend for a long term project being done for a North American client. The job location is Trivandrum, India. He/ she will be working along with the existing project team for technical and management aspects. Work involves requirement elicitation, software architecture designing, implementation and code reviews. He/ she will be responsible for taking each assigned task to completion ensuring the quality of deliverables. Should have self-initiatives, decision making and self-directing capabilities to work with minimal supervision and a “go-getter” attitude."
0,Technical Lead - Odoo,13/01/2023,31/01/2023,Experience : 8+ years
0,IT Manager,13/01/2023,19/01/2023,"At Trenser we rely on our IT systems to power the solutions that help consumers around the world. We’re seeking an experienced IT manager who can join us on this journey, using his or her technological skills to make us more efficient. In this role, you will analyze our current systems and assets, recommend, and implement solutions and upgrades, and provide training. Our ideal candidate has extensive knowledge of network maintenance, experience managing staff, and advanced industry knowledge to keep us on the cutting edge. From day one, you’ll have an immediate impact on the day-to-day efficiency of our IT operations, and an ongoing impact on our overall growth. Should have self-initiatives, decision making and self-directing capabilities to work with minimal supervision and a “go-getter” attitude."
0,Mobile - Technical Lead,13/01/2023,31/01/2023,Experience : 7+ Years
0,Senior Quality Automation Engineer,13/01/2023,20/01/2023,We are looking for 5+ years of experienced Senior Quality Automation Engineer
0,Operations Executive,13/01/2023,19/01/2023,Responsibilities
0,Full Stack Developer (Strong Front End/ VueJs),13/01/2023,20/01/2023,We are looking for a 5+ years of experienced Full stack developer 
0,Senior Software Quality Assurance Analyst,13/01/2023,20/01/2023,We are looking for 7+ Years experienced Software Quality Assurance Analyst
0,Customer Relations Executive,13/01/2023,19/01/2023,Responsibilities
0,Senior Frontend React Developer,13/01/2023,20/01/2023,We are looking for 7+ Years experienced React Frontend Developer 
0,QC Engineer (Mechanical),13/01/2023,19/01/2023,Responsibilities
0,Senior Python Developer,13/01/2023,20/01/2023,We are looking for 8+ years of experienced Python Developer
0,QC Engineer (Electrical),13/01/2023,19/01/2023,Responsibilities
0,HR Executive,13/01/2023,19/01/2023,"HR Executive (2- 3 Years)

We are looking for a personable and highly motivated HR Recruiter to support the HR Team in Recruitment and related activities. If you’re ready to build an experience with recruiting, employee development, and the coordination of HR activities, this is the best choice for you."
0,Data Enty Specialist,13/01/2023,22/01/2023,"We’re on the lookout for someone who is a team player and is all into Data entry & documentation in a proficient, and proactive manner. This role not only provides a good platform to learn support processes but also improves multitasking skills by handling email queries from clients, navigating emails, and data processing simultaneously. If this sounds interesting, then you are the right candidate we are looking for."
0,Technical Lead Java,13/01/2023,19/01/2023,Responsibilities:
0,Business Analyst,13/01/2023,19/01/2023,"Polus is looking for experienced, passionate and self-driven candidates to join our team with full dedication and cooperation."
0,Linux Administrator,13/01/2023,19/01/2023,"Linux administrator who will be responsible for designing, implementing, and monitoring the infrastructure; also, to collaborate with other team members to develop automation strategies and deployment processes. "
0,Senior PHP Developer,13/01/2023,19/01/2023,"Polus is looking for experienced, passionate and self-driven candidates to join our team with full dedication and cooperation."
0,Software Engineer- Java Developer,13/01/2023,19/01/2023,"Java Developers are the visionaries behind information solutions. Likewise Polus needs experienced, passionate and self-driven candidates to join our team with full dedication and cooperation."
0,Test Manager,13/01/2023,10/02/2023,Preferred skills
0,Developer Node.js,13/01/2023,27/01/2023,We are looking for Node JS developers to full fill design and development needs of our on-going project. Candidate must have good skills in developing web applications with NodeJS & Mongo DB and hands-on experience in MVC design patterns and frameworks (SailsJs and  ExpressJs preferred).
0,Marketing Manager (Male),13/01/2023,31/01/2023,"We are seeking an innovative marketing manager (Male) to promote our company's brand and services. In this role, you will be optimizing our marketing strategies, managing the marketing department's budget and staff, as well as preparing forecasts."
0,HR Recruiter,13/01/2023,20/01/2023,Job Description: 
0,Field Executives,13/01/2023,31/01/2023,We are looking for Field Executives (Male).
0,Accountant cum P.A,13/01/2023,31/01/2023, We are Hiring an Accountant (Female).
0,PHP Developer,13/01/2023,15/02/2023,"We are looking for  talented and adaptive PHP Developers with 1 – 3 years of experience to help us continuously innovate and develop our products and services. Those who are interested to take-up challenges and interested to learn new technologies, please go through our job requirement below."
0,Web Developer-WordPress,13/01/2023,15/02/2023,We are looking for a WordPress developer with 1-3 years of Experience We’re looking for someone who is comfortable with a fast-moving environment and can learn quickly.
0,Relationship Executive,13/01/2023,31/01/2023,We are looking for Relationship Executive (Female). 
0,Incident Manager,13/01/2023,31/01/2023,"
• Handling the escalation for all IT related issues (Incident/ Problem/Change). 
• Point of contact for all Major Incidents 
• Monitor the incidents to ensure that the Service Level Agreement are respected 
• Responsible for communicating with the Incident Process Owner 
• Ensure the closure of all resolved and end-user confirmed Incident records 
• Producing management information and reports 
• Ensuring that all IT teams follow the incident management process for every incident 
• Identifying, analyzing, and initiating the escalation process in an organization based on the escalation criteria specified by the organization 
• Ensure customer is heard throughout the escalation process. 
• Facilitate and report on daily and/or weekly stand-ups to ensure appropriate visibility of key customer issues including escalation status reporting, statistics, trending analysis, issue status activities, and resources 
• Worked on global escalations and managed the escalation mailbox in the shift. 
• Identifying, analyzing and initiating the escalation process based on the escalation criteria specified. 
• Linking the escalation task with incident problem records, identifying suitable service provider contacts, and finding the appropriate customer management services qualified for the task. 
• Initiating hierarchical escalation process as per the incident management process, including senior authorities and asking for their support, if the need arises 
• Updating and maintaining escalation process records at each stage, updating the same in management data, and reviewing and adjusting the escalation process accordingly 
• Worked on bouncing tickets to reduce the count of bounced incidents. 
• Providing contact details of Service Desk to the user so that they proceed accordingly as per their issues. 
• Several bouncing tickets are closed with our intervention."
0,Visa Administrator,13/01/2023,31/01/2023,We are looking for experienced professionals for our Visa processing for different countries with a minimum of 2 years’ experience in a similar field.
0,"Teachers / Subject Matter Expert in CBSE/ICSE Physics, Chemistry & Mathematics",12/01/2023,23/01/2023,Preferred skills
0,Ruby On Rails - Lead Software Engineer,12/01/2023,31/01/2023,Preferred skills
0,Senior Magento Developer,12/01/2023,31/01/2023,Preferred skills
0,Magento Developer - Software Engineer,12/01/2023,31/01/2023, 
0,Travel Consultant,12/01/2023,31/01/2023,Person who Completed  IATA and fluent in English
0,UI Developer,12/01/2023,20/01/2023,We are looking for a UI developer who has the ability to multitask and handle projects individually.
0,Python Developer,12/01/2023,31/01/2023,NP : immediate / 30 days
0,PHP Developer - CakePHP,12/01/2023,31/01/2023,Experience :- 4 to 9 years
0,Microsoft Power Platform Developer,12/01/2023,27/01/2023,"Microsoft Power Platform Developer_3 Yrs_Urgent

PRIMARY Skills"
0,Python,12/01/2023,31/01/2023,"Python (12th January 2023)

Roles & Responsibilities & Key skills"
0,Automation Tester,12/01/2023,12/02/2023,Preferred skills
0,Senior Software Tester,12/01/2023,31/01/2023,Experience: 5 + years
0,Finance Executive,12/01/2023,31/01/2023,We are looking for Finance Executive at ARS Traffic and Transport Technology.
0,Java Developer,12/01/2023,31/01/2023,Position: 2
0,Sales Process Associate (Voice-US),11/01/2023,11/02/2023,About FAYA
0,PHP Developer,11/01/2023,31/01/2023,Duties and Responsibilities 
0,Business Development Executive,11/01/2023,18/01/2023,Preferred skills
0,BUSINESS DEVELOPMENT EXECUTIVE,11/01/2023,27/01/2023,"We are looking for smart and energetic candidates who can join us immediately, for the position of Business Development Executive"
0,Senior Sales Development Representative,11/01/2023,31/01/2023,Preferred skills
0,Scrum Master,11/01/2023,31/01/2023,Roles & Responsibilities:
0,Marketing Manager,11/01/2023,27/01/2023,Preferred skills
0,Marketing Analyst,11/01/2023,27/01/2023,Preferred skills
0,Graphic Designer,11/01/2023,27/01/2023,Preferred skills
0,Content Writer,11/01/2023,27/01/2023,Preferred skills
0,Business Development Executive-Refinery project experience,11/01/2023,27/01/2023,We are looking for Business Development Executive who have experience in Refinery projects for Pan India.
0,Bio Medical Sales Engineer,11/01/2023,27/01/2023,Preferred skills
0,Business Development Associate Fresher,11/01/2023,27/01/2023,Preferred skills
0,.NET Developer,11/01/2023,31/01/2023,Experience : 2+ years
0,Azure with .Net Core,11/01/2023,31/01/2023,Experience: 1 to 3 years
0,Lead Test Engineer,11/01/2023,31/01/2023,Experience: 6 - 8 years
0,Senior Business Analyst,11/01/2023,31/01/2023,Job Location : Technopark (Trivandrum) and Infopark (Kochi)
0,Product Owner,11/01/2023,31/01/2023,Experience: 3+ years
0,Front - End Developer (Vue.JS),11/01/2023,31/01/2023,Experience : 2+ years
0,Junior-Server Admin,11/01/2023,31/01/2023, 
0,Android Lead,11/01/2023,31/01/2023,Experience : 5+ Years
0,Blog Writer (Part-time),11/01/2023,28/01/2023,Preferred skills
0,BUSINESS DEVELOPMENT EXECUTIVE,11/01/2023,31/01/2023,"RESPONSIBILITES:-
 "
0,MANAGER- Sales & Marketing,11/01/2023,31/01/2023,Preferred skills
0,Business Analyst,11/01/2023,11/02/2023,Preferred skills
0,Senior Front End Developer,11/01/2023,31/01/2023,"Looking for an UI developer responsible for the development and maintenance of UI applications. Primary focus will be the development of UI applications and their integration with back-end services. Will be working along-side other engineers and developers working on different layers of the infrastructure. Therefore, commitment to collaborative problem solving, sophisticated design, and creating quality products is essential. "
0,Node Js Developer,11/01/2023,31/01/2023,2. Job Role - Node Js Developer
0,Scrum Master,11/01/2023,31/01/2023,"We are looking for a Scrum Master to coordinate and coach our software development team as a go-to person for applying scrum to produce high-quality work.  Needless to say -  duties include managing timelines, resolving problems and coaching team members on Agile methodologies. The person needs to be based in one of our offices in India - either Calicut or Trivandrum."
0,Senior Python : Django Developer,11/01/2023,31/01/2023,Job Details
0,React.js Developer,11/01/2023,31/01/2023,Job Details
0,Software Tester,11/01/2023,31/01/2023,Key responsibilities:
0,Mobile App Developer (IOS + Android),11/01/2023,31/01/2023,Job Details
0,PHP Developer,11/01/2023,31/01/2023,Job Details
0,PHP Developer (Sr. & Jr.),11/01/2023,31/01/2023,Job Details
0,Junior Java Developer,11/01/2023,15/02/2023, 
0, , , , 
0,Angular Developer,11/01/2023,15/02/2023,Preferred skills
0,Junior Odoo Developer,11/01/2023,31/01/2023,Preferred skills
0,Team Lead Java,11/01/2023,14/02/2023,"We are looking for a Lead Java Developer with 5+ years of experience. The Team Lead will be responsible for technically leading one or more software projects through all stages of the life cycle, including responsibility for requirements capture, prototype, design, development and acceptance testing. The Incumbent will be an integral part of our Development team in developing highly dynamic and scalable multi-tier applications and demonstrate personal commitment and accountability to ensure standards are continuously maintained and improved both within the internal teams, and with partner organizations. "
0,Software Trainee - MSc/B Tech Computer Science,11/01/2023,17/02/2023,"We are looking for Computer Science graduate freshers, offering a 6-month internship those who have Good Hands-on Knowledge (via academic /hobby project) in basics of Python/Java/Android/Php/Angular/React. 2023 Pass Outs Preferred and internship could be done as a part of the project/course.2022 pass outs can apply."
